Edad simple;Sexo;Periodo;Total
26 años;Mujeres;1 de enero de 2021;241.486
27 años;Ambos sexos;1 de enero de 2021;509.736
27 años;Hombres;1 de enero de 2021;258.276
27 años;Mujeres;1 de enero de 2021;251.459
28 años;Ambos sexos;1 de enero de 2021;525.781
28 años;Hombres;1 de enero de 2021;265.889
28 años;Mujeres;1 de enero de 2021;259.892
29 años;Ambos sexos;1 de enero de 2021;523.378
29 años;Hombres;1 de enero de 2021;264.949
29 años;Mujeres;1 de enero de 2021;258.428
30 años;Ambos sexos;1 de enero de 2021;531.524
30 años;Hombres;1 de enero de 2021;267.564
30 años;Mujeres;1 de enero de 2021;263.960
31 años;Ambos sexos;1 de enero de 2021;539.644
31 años;Hombres;1 de enero de 2021;271.058
31 años;Mujeres;1 de enero de 2021;268.586
32 años;Ambos sexos;1 de enero de 2021;549.056
32 años;Hombres;1 de enero de 2021;274.882
32 años;Mujeres;1 de enero de 2021;274.175
33 años;Ambos sexos;1 de enero de 2021;555.864
33 años;Hombres;1 de enero de 2021;277.386
33 años;Mujeres;1 de enero de 2021;278.478
34 años;Ambos sexos;1 de enero de 2021;569.230
34 años;Hombres;1 de enero de 2021;282.593
34 años;Mujeres;1 de enero de 2021;286.637
35 años;Ambos sexos;1 de enero de 2021;588.611
35 años;Hombres;1 de enero de 2021;292.623
35 años;Mujeres;1 de enero de 2021;295.988
36 años;Ambos sexos;1 de enero de 2021;611.266
36 años;Hombres;1 de enero de 2021;303.449
36 años;Mujeres;1 de enero de 2021;307.817
37 años;Ambos sexos;1 de enero de 2021;631.276
37 años;Hombres;1 de enero de 2021;313.330
37 años;Mujeres;1 de enero de 2021;317.946
38 años;Ambos sexos;1 de enero de 2021;667.423
38 años;Hombres;1 de enero de 2021;331.639
38 años;Mujeres;1 de enero de 2021;335.784
39 años;Ambos sexos;1 de enero de 2021;697.388
39 años;Hombres;1 de enero de 2021;347.665
39 años;Mujeres;1 de enero de 2021;349.723
40 años;Ambos sexos;1 de enero de 2021;731.529
40 años;Hombres;1 de enero de 2021;364.986
40 años;Mujeres;1 de enero de 2021;366.543
41 años;Ambos sexos;1 de enero de 2021;753.631
41 años;Hombres;1 de enero de 2021;376.706
41 años;Mujeres;1 de enero de 2021;376.925
42 años;Ambos sexos;1 de enero de 2021;787.828
42 años;Hombres;1 de enero de 2021;395.504
42 años;Mujeres;1 de enero de 2021;392.324
43 años;Ambos sexos;1 de enero de 2021;798.467
43 años;Hombres;1 de enero de 2021;402.936
43 años;Mujeres;1 de enero de 2021;395.531
44 años;Ambos sexos;1 de enero de 2021;812.938
44 años;Hombres;1 de enero de 2021;409.360
44 años;Mujeres;1 de enero de 2021;403.579
45 años;Ambos sexos;1 de enero de 2021;806.728
45 años;Hombres;1 de enero de 2021;407.496
45 años;Mujeres;1 de enero de 2021;399.232
46 años;Ambos sexos;1 de enero de 2021;800.884
46 años;Hombres;1 de enero de 2021;403.471
46 años;Mujeres;1 de enero de 2021;397.413
47 años;Ambos sexos;1 de enero de 2021;781.296
47 años;Hombres;1 de enero de 2021;394.432
47 años;Mujeres;1 de enero de 2021;386.864
48 años;Ambos sexos;1 de enero de 2021;777.575
48 años;Hombres;1 de enero de 2021;391.943
48 años;Mujeres;1 de enero de 2021;385.633
49 años;Ambos sexos;1 de enero de 2021;765.164
49 años;Hombres;1 de enero de 2021;384.760
49 años;Mujeres;1 de enero de 2021;380.404
50 años;Ambos sexos;1 de enero de 2021;753.516
50 años;Hombres;1 de enero de 2021;378.223
50 años;Mujeres;1 de enero de 2021;375.293
51 años;Ambos sexos;1 de enero de 2021;745.521
51 años;Hombres;1 de enero de 2021;373.216
51 años;Mujeres;1 de enero de 2021;372.305
52 años;Ambos sexos;1 de enero de 2021;738.061
52 años;Hombres;1 de enero de 2021;368.475
52 años;Mujeres;1 de enero de 2021;369.586
53 años;Ambos sexos;1 de enero de 2021;741.354
53 años;Hombres;1 de enero de 2021;368.913
53 años;Mujeres;1 de enero de 2021;372.441
54 años;Ambos sexos;1 de enero de 2021;721.854
54 años;Hombres;1 de enero de 2021;358.867
54 años;Mujeres;1 de enero de 2021;362.987
55 años;Ambos sexos;1 de enero de 2021;715.168
55 años;Hombres;1 de enero de 2021;353.591
55 años;Mujeres;1 de enero de 2021;361.576
56 años;Ambos sexos;1 de enero de 2021;722.272
56 años;Hombres;1 de enero de 2021;356.513
56 años;Mujeres;1 de enero de 2021;365.759
57 años;Ambos sexos;1 de enero de 2021;686.102
57 años;Hombres;1 de enero de 2021;338.407
57 años;Mujeres;1 de enero de 2021;347.695
58 años;Ambos sexos;1 de enero de 2021;661.337
58 años;Hombres;1 de enero de 2021;324.422
58 años;Mujeres;1 de enero de 2021;336.915
59 años;Ambos sexos;1 de enero de 2021;644.202
59 años;Hombres;1 de enero de 2021;315.420
59 años;Mujeres;1 de enero de 2021;328.782
60 años;Ambos sexos;1 de enero de 2021;644.806
60 años;Hombres;1 de enero de 2021;314.966
60 años;Mujeres;1 de enero de 2021;329.840
61 años;Ambos sexos;1 de enero de 2021;624.692
61 años;Hombres;1 de enero de 2021;304.474
61 años;Mujeres;1 de enero de 2021;320.218
62 años;Ambos sexos;1 de enero de 2021;607.662
62 años;Hombres;1 de enero de 2021;295.094
62 años;Mujeres;1 de enero de 2021;312.568
63 años;Ambos sexos;1 de enero de 2021;590.685
63 años;Hombres;1 de enero de 2021;285.745
63 años;Mujeres;1 de enero de 2021;304.941
64 años;Ambos sexos;1 de enero de 2021;549.081
64 años;Hombres;1 de enero de 2021;264.425
64 años;Mujeres;1 de enero de 2021;284.656
65 años;Ambos sexos;1 de enero de 2021;530.169
65 años;Hombres;1 de enero de 2021;254.408
65 años;Mujeres;1 de enero de 2021;275.761
66 años;Ambos sexos;1 de enero de 2021;503.637
66 años;Hombres;1 de enero de 2021;240.223
66 años;Mujeres;1 de enero de 2021;263.414
67 años;Ambos sexos;1 de enero de 2021;500.877
67 años;Hombres;1 de enero de 2021;238.895
67 años;Mujeres;1 de enero de 2021;261.983
68 años;Ambos sexos;1 de enero de 2021;495.402
68 años;Hombres;1 de enero de 2021;236.206
68 años;Mujeres;1 de enero de 2021;259.196
69 años;Ambos sexos;1 de enero de 2021;460.630
69 años;Hombres;1 de enero de 2021;217.845
69 años;Mujeres;1 de enero de 2021;242.785
70 años;Ambos sexos;1 de enero de 2021;446.989
70 años;Hombres;1 de enero de 2021;210.049
70 años;Mujeres;1 de enero de 2021;236.940
71 años;Ambos sexos;1 de enero de 2021;459.503
71 años;Hombres;1 de enero de 2021;213.610
71 años;Mujeres;1 de enero de 2021;245.894
72 años;Ambos sexos;1 de enero de 2021;475.082
72 años;Hombres;1 de enero de 2021;219.962
72 años;Mujeres;1 de enero de 2021;255.120
73 años;Ambos sexos;1 de enero de 2021;429.268
73 años;Hombres;1 de enero de 2021;197.522
73 años;Mujeres;1 de enero de 2021;231.746
74 años;Ambos sexos;1 de enero de 2021;404.434
74 años;Hombres;1 de enero de 2021;183.821
74 años;Mujeres;1 de enero de 2021;220.613
75 años;Ambos sexos;1 de enero de 2021;416.011
75 años;Hombres;1 de enero de 2021;187.559
75 años;Mujeres;1 de enero de 2021;228.452
76 años;Ambos sexos;1 de enero de 2021;388.845
76 años;Hombres;1 de enero de 2021;174.113
76 años;Mujeres;1 de enero de 2021;214.732
77 años;Ambos sexos;1 de enero de 2021;374.888
77 años;Hombres;1 de enero de 2021;166.343
77 años;Mujeres;1 de enero de 2021;208.545
78 años;Ambos sexos;1 de enero de 2021;317.167
78 años;Hombres;1 de enero de 2021;139.644
78 años;Mujeres;1 de enero de 2021;177.523
79 años;Ambos sexos;1 de enero de 2021;284.752
79 años;Hombres;1 de enero de 2021;123.790
79 años;Mujeres;1 de enero de 2021;160.962
80 años;Ambos sexos;1 de enero de 2021;338.743
80 años;Hombres;1 de enero de 2021;144.348
80 años;Mujeres;1 de enero de 2021;194.395
81 años;Ambos sexos;1 de enero de 2021;217.288
81 años;Hombres;1 de enero de 2021;89.665
81 años;Mujeres;1 de enero de 2021;127.623
82 años;Ambos sexos;1 de enero de 2021;236.104
82 años;Hombres;1 de enero de 2021;96.380
82 años;Mujeres;1 de enero de 2021;139.724
83 años;Ambos sexos;1 de enero de 2021;252.791
83 años;Hombres;1 de enero de 2021;101.304
83 años;Mujeres;1 de enero de 2021;151.486
84 años;Ambos sexos;1 de enero de 2021;262.547
84 años;Hombres;1 de enero de 2021;101.923
84 años;Mujeres;1 de enero de 2021;160.624
85 años;Ambos sexos;1 de enero de 2021;237.765
85 años;Hombres;1 de enero de 2021;91.489
85 años;Mujeres;1 de enero de 2021;146.276
86 años;Ambos sexos;1 de enero de 2021;218.866
86 años;Hombres;1 de enero de 2021;82.004
86 años;Mujeres;1 de enero de 2021;136.862
87 años;Ambos sexos;1 de enero de 2021;204.540
87 años;Hombres;1 de enero de 2021;74.595
87 años;Mujeres;1 de enero de 2021;129.945
88 años;Ambos sexos;1 de enero de 2021;182.691
88 años;Hombres;1 de enero de 2021;65.047
88 años;Mujeres;1 de enero de 2021;117.645
89 años;Ambos sexos;1 de enero de 2021;153.104
89 años;Hombres;1 de enero de 2021;53.292
89 años;Mujeres;1 de enero de 2021;99.811
90 años;Ambos sexos;1 de enero de 2021;134.152
90 años;Hombres;1 de enero de 2021;44.077
90 años;Mujeres;1 de enero de 2021;90.075
91 años;Ambos sexos;1 de enero de 2021;107.330
91 años;Hombres;1 de enero de 2021;34.308
91 años;Mujeres;1 de enero de 2021;73.022
92 años;Ambos sexos;1 de enero de 2021;88.281
92 años;Hombres;1 de enero de 2021;27.128
92 años;Mujeres;1 de enero de 2021;61.153
93 años;Ambos sexos;1 de enero de 2021;66.962
93 años;Hombres;1 de enero de 2021;19.718
93 años;Mujeres;1 de enero de 2021;47.244
94 años;Ambos sexos;1 de enero de 2021;53.675
94 años;Hombres;1 de enero de 2021;15.137
94 años;Mujeres;1 de enero de 2021;38.538
95 años;Ambos sexos;1 de enero de 2021;40.002
95 años;Hombres;1 de enero de 2021;10.744
95 años;Mujeres;1 de enero de 2021;29.258
96 años;Ambos sexos;1 de enero de 2021;29.854
96 años;Hombres;1 de enero de 2021;7.790
96 años;Mujeres;1 de enero de 2021;22.063
97 años;Ambos sexos;1 de enero de 2021;21.407
97 años;Hombres;1 de enero de 2021;5.547
97 años;Mujeres;1 de enero de 2021;15.860
98 años;Ambos sexos;1 de enero de 2021;15.093
98 años;Hombres;1 de enero de 2021;3.624
98 años;Mujeres;1 de enero de 2021;11.469
99 años;Ambos sexos;1 de enero de 2021;9.851
99 años;Hombres;1 de enero de 2021;2.422
99 años;Mujeres;1 de enero de 2021;7.429
100 años;Ambos sexos;1 de enero de 2021;5.221
100 años;Hombres;1 de enero de 2021;1.009
100 años;Mujeres;1 de enero de 2021;4.212
101 años;Ambos sexos;1 de enero de 2021;3.080
101 años;Hombres;1 de enero de 2021;592
101 años;Mujeres;1 de enero de 2021;2.488
102 años;Ambos sexos;1 de enero de 2021;1.926
102 años;Hombres;1 de enero de 2021;354
102 años;Mujeres;1 de enero de 2021;1.572
103 años;Ambos sexos;1 de enero de 2021;1.145
103 años;Hombres;1 de enero de 2021;246
103 años;Mujeres;1 de enero de 2021;899
104 años;Ambos sexos;1 de enero de 2021;764
104 años;Hombres;1 de enero de 2021;195
104 años;Mujeres;1 de enero de 2021;569
100 y más años;Ambos sexos;1 de enero de 2021;13.043
100 y más años;Hombres;1 de enero de 2021;2.581
100 y más años;Mujeres;1 de enero de 2021;10.462
105 y más años;Ambos sexos;1 de enero de 2021;905
105 y más años;Hombres;1 de enero de 2021;184
105 y más años;Mujeres;1 de enero de 2021;721
